lat,lon,time,spatial_ref,precipitation
32.85,-116.45,2017-02-01 00:00:00,0,0.12200001
32.85,-116.35,2017-02-01 00:00:00,0,0.112
32.85,-116.25,2017-02-01 00:00:00,0,0.101
32.85,-116.149994,2017-02-01 00:00:00,0,0.09200001
32.85,-116.049995,2017-02-01 00:00:00,0,0.08400001
32.85,-115.95,2017-02-01 00:00:00,0,0.075
32.85,-115.85,2017-02-01 00:00:00,0,0.072000004
32.85,-115.75,2017-02-01 00:00:00,0,0.066
32.85,-115.649994,2017-02-01 00:00:00,0,0.060000002
32.85,-115.549995,2017-02-01 00:00:00,0,0.052
32.85,-115.45,2017-02-01 00:00:00,0,0.046000004
32.85,-115.35,2017-02-01 00:00:00,0,0.043
32.85,-115.25,2017-02-01 00:00:00,0,0.042000003
32.85,-115.149994,2017-02-01 00:00:00,0,0.042000003
32.85,-115.049995,2017-02-01 00:00:00,0,0.044000003
32.85,-114.95,2017-02-01 00:00:00,0,0.046000004
32.85,-114.85,2017-02-01 00:00:00,0,0.047000002
32.85,-114.75,2017-02-01 00:00:00,0,0.045
32.85,-114.649994,2017-02-01 00:00:00,0,0.040000003
32.85,-114.549995,2017-02-01 00:00:00,0,0.038000003
32.85,-114.45,2017-02-01 00:00:00,0,0.0
32.85,-114.35,2017-02-01 00:00:00,0,0.0
32.85,-114.25,2017-02-01 00:00:00,0,0.0
32.95,-124.35,2017-02-01 00:00:00,0,0.0
32.95,-124.25,2017-02-01 00:00:00,0,0.0
32.95,-124.149994,2017-02-01 00:00:00,0,0.0
32.95,-124.049995,2017-02-01 00:00:00,0,0.0
32.95,-123.95,2017-02-01 00:00:00,0,0.0
32.95,-123.85,2017-02-01 00:00:00,0,0.0
32.95,-123.75,2017-02-01 00:00:00,0,0.0
32.95,-123.649994,2017-02-01 00:00:00,0,0.0
32.95,-123.549995,2017-02-01 00:00:00,0,0.0
32.95,-123.45,2017-02-01 00:00:00,0,0.0
32.95,-123.35,2017-02-01 00:00:00,0,0.0
32.95,-123.25,2017-02-01 00:00:00,0,0.0
32.95,-123.149994,2017-02-01 00:00:00,0,0.0
32.95,-123.049995,2017-02-01 00:00:00,0,0.0
32.95,-122.95,2017-02-01 00:00:00,0,0.0
32.95,-122.85,2017-02-01 00:00:00,0,0.0
32.95,-122.75,2017-02-01 00:00:00,0,0.0
32.95,-122.649994,2017-02-01 00:00:00,0,0.0
32.95,-122.549995,2017-02-01 00:00:00,0,0.0
32.95,-122.45,2017-02-01 00:00:00,0,0.0
32.95,-122.35,2017-02-01 00:00:00,0,0.0
32.95,-122.25,2017-02-01 00:00:00,0,0.0
32.95,-122.149994,2017-02-01 00:00:00,0,0.0
32.95,-122.049995,2017-02-01 00:00:00,0,0.0
32.95,-121.95,2017-02-01 00:00:00,0,0.0
32.95,-121.85,2017-02-01 00:00:00,0,0.0
32.95,-121.75,2017-02-01 00:00:00,0,0.0
32.95,-121.649994,2017-02-01 00:00:00,0,0.0
32.95,-121.549995,2017-02-01 00:00:00,0,0.0
32.95,-121.45,2017-02-01 00:00:00,0,0.0
32.95,-121.35,2017-02-01 00:00:00,0,0.0
32.95,-121.25,2017-02-01 00:00:00,0,0.0
32.95,-121.149994,2017-02-01 00:00:00,0,0.0
32.95,-121.049995,2017-02-01 00:00:00,0,0.0
